номер_меры;мера_защиты;К3;К2;К1
ИАФ.1;Идентификация и аутентификация пользователей, являющихся работниками оператора;1;0;0
ИАФ.2;Идентификация и аутентификация устройств, в том числе стационарных, мобильных и портативных;0;1;1
